cue,n_mentions,n,wins,undecided_share,win_rate,shrunk_rate,ci_low,ci_high,base_rate
tall buildings,123,45,24,0.634,0.5333,0.565,0.3908,0.6707,0.6219
black suv,102,40,21,0.608,0.525,0.5623,0.375,0.6706,0.6219
white car,102,44,23,0.569,0.5227,0.5586,0.3794,0.6625,0.6219
lot of activity,66,28,14,0.576,0.5,0.5575,0.3263,0.6737,0.6219
yellow taxi,134,58,30,0.567,0.5172,0.5488,0.3916,0.6407,0.6219
car,135,60,31,0.556,0.5167,0.5476,0.3931,0.6383,0.6219
parked cars,202,86,45,0.574,0.5233,0.5455,0.419,0.6255,0.6219
pedestrian crossing,210,89,46,0.576,0.5169,0.5399,0.4145,0.6178,0.6219
"""subway"" sign",179,71,36,0.603,0.507,0.5369,0.3934,0.62,0.6219
some cars,59,28,12,0.525,0.4286,0.5197,0.2651,0.6093,0.6219
"""stop"" sign",66,26,10,0.606,0.3846,0.5009,0.2243,0.5747,0.6219
white van,191,80,34,0.581,0.425,0.4719,0.3226,0.5343,0.6219
"""one way"" sign",143,75,31,0.476,0.4133,0.4655,0.3088,0.5263,0.6219
lot of traffic,109,39,14,0.642,0.359,0.4617,0.2274,0.5158,0.6219
stairs leading down,64,33,11,0.484,0.3333,0.4577,0.1975,0.5039,0.6219
white truck,64,27,8,0.578,0.2963,0.4528,0.1585,0.4848,0.6219
car parked nearby,103,56,21,0.456,0.375,0.4512,0.2601,0.5059,0.6219
fewer people,41,26,7,0.366,0.2692,0.4421,0.137,0.4608,0.6219
busy street intersection,70,42,14,0.4,0.3333,0.441,0.2101,0.4845,0.6219
fence,295,142,57,0.519,0.4014,0.4344,0.3244,0.4836,0.6219
truck,113,44,13,0.611,0.2955,0.4137,0.1816,0.4422,0.6219
elevated structure,60,30,7,0.5,0.2333,0.4099,0.1179,0.4093,0.6219
construction fence,62,35,8,0.435,0.2286,0.3924,0.1207,0.3902,0.6219
orange cones,60,30,6,0.5,0.2,0.3918,0.095,0.3731,0.6219
graffiti on the wall,57,30,6,0.474,0.2,0.3918,0.095,0.3731,0.6219
scaffolding,95,58,16,0.389,0.2759,0.3801,0.1775,0.402,0.6219
many cars,74,40,9,0.459,0.225,0.3776,0.1232,0.375,0.6219
busy intersection,155,68,19,0.561,0.2794,0.3715,0.1868,0.3956,0.6219
construction scaffolding,85,50,12,0.412,0.24,0.3673,0.143,0.3741,0.6219
very busy intersection,76,37,7,0.513,0.1892,0.3637,0.0948,0.3421,0.6219
construction,47,26,3,0.447,0.1154,0.3637,0.04,0.2898,0.6219
staircase leading down,50,30,4,0.4,0.1333,0.3554,0.0531,0.2968,0.6219
heavy traffic,90,56,12,0.378,0.2143,0.3401,0.1271,0.3382,0.6219
under an elevated train structure,36,25,1,0.306,0.04,0.3309,0.0071,0.1954,0.6219
debris on the ground,49,28,1,0.429,0.0357,0.3122,0.0063,0.1771,0.6219
subway station entrance under an elevated track,83,48,7,0.422,0.1458,0.3089,0.0725,0.2717,0.6219
trash on the ground,77,44,5,0.429,0.1136,0.2978,0.0495,0.2398,0.6219
subway station entrance under an elevated structure,66,41,4,0.379,0.0976,0.2962,0.0386,0.2255,0.6219
overhead structure,76,31,1,0.592,0.0323,0.2955,0.0057,0.1619,0.6219
grimy,33,28,0,0.152,0.0,0.2933,0.0,0.1206,0.6219
subway entrance under an elevated train track,43,35,2,0.186,0.0571,0.2924,0.0158,0.1861,0.6219
grittier,35,29,0,0.171,0.0,0.2879,0.0,0.117,0.6219
quite dark under the structure,32,29,0,0.094,0.0,0.2879,0.0,0.117,0.6219
graffiti on the walls,75,49,5,0.347,0.102,0.2777,0.0444,0.2176,0.6219
neglected,34,31,0,0.088,0.0,0.2776,0.0,0.1103,0.6219
lot of graffiti,60,35,1,0.417,0.0286,0.2758,0.0051,0.1453,0.6219
cramped,56,32,0,0.429,0.0,0.2727,0.0,0.1072,0.6219
subway entrance under an elevated track,98,52,5,0.469,0.0962,0.2668,0.0418,0.2061,0.6219
quite dark,39,36,0,0.077,0.0,0.2549,0.0,0.0964,0.6219
under an elevated structure,93,52,4,0.441,0.0769,0.2539,0.0303,0.1817,0.6219
shaded,64,38,0,0.406,0.0,0.2468,0.0,0.0918,0.6219
under an elevated track,87,51,3,0.414,0.0588,0.244,0.0202,0.1592,0.6219
graffiti,227,142,25,0.374,0.1761,0.2428,0.1222,0.247,0.6219
much darker,44,40,0,0.091,0.0,0.2392,0.0,0.0876,0.6219
lighting is poor,41,41,0,0.0,0.0,0.2356,0.0,0.0857,0.6219
chain-link fence,91,72,7,0.209,0.0972,0.2324,0.0479,0.1874,0.6219
subway entrance under an elevated structure,112,75,7,0.33,0.0933,0.2255,0.0459,0.1803,0.6219
construction barriers,141,86,9,0.39,0.1047,0.2211,0.056,0.1871,0.6219
shadows,77,49,0,0.364,0.0,0.2101,0.0,0.0727,0.6219
construction zone,74,54,1,0.27,0.0185,0.2095,0.0033,0.0977,0.6219
darker,72,61,0,0.153,0.0,0.1808,0.0,0.0592,0.6219
construction site,147,130,12,0.116,0.0923,0.1777,0.0536,0.1544,0.6219
cluttered,129,89,2,0.31,0.0225,0.1539,0.0062,0.0783,0.6219
dark,83,81,0,0.024,0.0,0.1467,0.0,0.0453,0.6219
very dark,85,82,0,0.035,0.0,0.1453,0.0,0.0448,0.6219
dimly lit,95,84,0,0.116,0.0,0.1426,0.0,0.0437,0.6219
gritty,139,104,1,0.252,0.0096,0.1283,0.0017,0.0525,0.6219
