cue,n_mentions,n,wins,undecided_share,win_rate,shrunk_rate,ci_low,ci_high,base_rate
windows are clear,548,185,168,0.662,0.9081,0.8829,0.8578,0.9418,0.6968
clean brickwork,74,39,39,0.473,1.0,0.8815,0.9103,1.0,0.6968
very clean facade,89,38,38,0.573,1.0,0.8797,0.9082,1.0,0.6968
very polished,59,37,37,0.373,1.0,0.8777,0.9059,1.0,0.6968
very clean and modern,97,37,37,0.619,1.0,0.8777,0.9059,1.0,0.6968
facade looks clean,362,109,100,0.699,0.9174,0.8763,0.8505,0.956,0.6968
facade looks clean and intact,89,44,43,0.506,0.9773,0.8756,0.8819,0.996,0.6968
no scaffolding,37,35,35,0.054,1.0,0.8737,0.9011,1.0,0.6968
clean,586,269,239,0.541,0.8885,0.8722,0.8453,0.9208,0.6968
very pristine,70,34,34,0.514,1.0,0.8715,0.8985,1.0,0.6968
sidewalk is clear,840,349,308,0.585,0.8825,0.8701,0.8445,0.9122,0.6968
clear sign,56,33,33,0.411,1.0,0.8693,0.8957,1.0,0.6968
building looks well-maintained,77,33,33,0.571,1.0,0.8693,0.8957,1.0,0.6968
windows are clean,836,292,258,0.651,0.8836,0.8688,0.8417,0.9155,0.6968
relatively clean and well-maintained,124,54,51,0.565,0.9444,0.8661,0.8489,0.9809,0.6968
large glass windows,190,98,89,0.484,0.9082,0.8652,0.8346,0.9509,0.6968
very clean sidewalk,57,31,31,0.456,1.0,0.8646,0.8897,1.0,0.6968
intact windows,67,30,30,0.552,1.0,0.8622,0.8865,1.0,0.6968
modern-looking brick building,82,43,41,0.476,0.9535,0.8591,0.8454,0.9872,0.6968
very well-kept,78,28,28,0.641,1.0,0.857,0.8794,1.0,0.6968
"very clean, modern, and well-maintained",43,28,28,0.349,1.0,0.857,0.8794,1.0,0.6968
good condition,140,41,39,0.707,0.9512,0.8548,0.8386,0.9865,0.6968
surrounding area is tidy,88,34,33,0.614,0.9706,0.8546,0.8508,0.9948,0.6968
sidewalk and street look clean,81,27,27,0.667,1.0,0.8542,0.8754,1.0,0.6968
clear windows,60,27,27,0.55,1.0,0.8542,0.8754,1.0,0.6968
windows are large and clean,71,26,26,0.634,1.0,0.8514,0.8713,1.0,0.6968
building looks very clean,67,26,26,0.612,1.0,0.8514,0.8713,1.0,0.6968
very clean and well-kept,45,26,26,0.422,1.0,0.8514,0.8713,1.0,0.6968
facade looks clean and well-kept,53,25,25,0.528,1.0,0.8484,0.8668,1.0,0.6968
windows are large and clear,60,25,25,0.583,1.0,0.8484,0.8668,1.0,0.6968
tidy,95,37,35,0.611,0.9459,0.8455,0.823,0.985,0.6968
relatively clean and well-kept,58,30,29,0.483,0.9667,0.844,0.8333,0.9941,0.6968
pavement is clean,68,29,28,0.574,0.9655,0.8411,0.8282,0.9939,0.6968
building is very clean,68,29,28,0.574,0.9655,0.8411,0.8282,0.9939,0.6968
brickwork is clean,371,96,84,0.741,0.875,0.8382,0.7941,0.927,0.6968
clean brick,41,28,27,0.317,0.9643,0.8381,0.8229,0.9937,0.6968
stone is clean,83,26,25,0.687,0.9615,0.8317,0.8111,0.9932,0.6968
facade is intact,62,31,29,0.5,0.9355,0.8289,0.7928,0.9821,0.6968
brickwork is very clean,70,30,28,0.571,0.9333,0.8258,0.7868,0.9815,0.6968
clean and well-kept,152,52,46,0.658,0.8846,0.8236,0.7703,0.946,0.6968
sidewalk looks clean,100,43,38,0.57,0.8837,0.815,0.7552,0.9493,0.6968
landscaping,78,30,27,0.615,0.9,0.8076,0.7438,0.9654,0.6968
well-kept,402,140,115,0.652,0.8214,0.8025,0.7497,0.876,0.6968
bench,61,32,28,0.475,0.875,0.7968,0.7193,0.9503,0.6968
large windows,243,119,97,0.51,0.8151,0.7946,0.7359,0.8746,0.6968
bike rack,89,41,35,0.539,0.8537,0.7942,0.7156,0.9312,0.6968
street is clear,79,35,30,0.557,0.8571,0.7903,0.7062,0.9374,0.6968
modern-looking building with large glass windows,55,30,26,0.455,0.8667,0.7894,0.7032,0.9469,0.6968
signage is clear,189,63,52,0.667,0.8254,0.7889,0.7138,0.8996,0.6968
building looks clean,103,34,29,0.67,0.8529,0.7868,0.6987,0.9355,0.6968
brick is clean,104,29,25,0.721,0.8621,0.7855,0.6944,0.945,0.6968
modern glass building,66,37,31,0.439,0.8378,0.781,0.6886,0.9235,0.6968
modern-looking building,74,37,31,0.5,0.8378,0.781,0.6886,0.9235,0.6968
windows look clean,91,32,26,0.648,0.8125,0.7617,0.6469,0.9111,0.6968
trees are healthy,94,37,29,0.606,0.7838,0.7487,0.628,0.8861,0.6968
brickwork is intact,83,25,19,0.699,0.76,0.7284,0.5657,0.885,0.6968
crosswalk,118,41,29,0.653,0.7073,0.7033,0.5552,0.8239,0.6968
brickwork looks good,161,27,19,0.832,0.7037,0.7004,0.5152,0.8415,0.6968
queens public library,50,29,20,0.42,0.6897,0.6929,0.5077,0.8272,0.6968
windows look intact,97,51,35,0.474,0.6863,0.6897,0.5497,0.7967,0.6968
sidewalk,135,57,39,0.578,0.6842,0.688,0.5552,0.79,0.6968
brick building with large windows,135,65,44,0.519,0.6769,0.6824,0.5561,0.778,0.6968
fence is intact,195,45,30,0.769,0.6667,0.6774,0.5207,0.7864,0.6968
large brick building,67,37,24,0.448,0.6486,0.6681,0.4876,0.7817,0.6968
brickwork looks intact,135,42,26,0.689,0.619,0.648,0.4681,0.75,0.6968
bus stop,102,48,29,0.529,0.6042,0.6359,0.4631,0.7298,0.6968
"sign that says ""new york public library""",62,34,20,0.452,0.5882,0.6342,0.4222,0.7363,0.6968
queens library,71,47,28,0.338,0.5957,0.6308,0.4534,0.7236,0.6968
red flag,62,25,14,0.597,0.56,0.6284,0.3707,0.7333,0.6968
"""library"" sign",72,29,16,0.597,0.5517,0.6189,0.3755,0.7159,0.6968
sign,66,38,21,0.424,0.5526,0.6098,0.3971,0.6985,0.6968
trees in front,157,61,34,0.611,0.5574,0.5979,0.433,0.6749,0.6968
"""new york public library"" sign",74,33,17,0.554,0.5152,0.5934,0.3522,0.675,0.6968
cars parked in front,431,190,110,0.559,0.5789,0.5926,0.5079,0.6469,0.6968
relatively clean,210,103,58,0.51,0.5631,0.5892,0.4668,0.6549,0.6968
greenery,120,45,23,0.625,0.5111,0.5774,0.37,0.6504,0.6968
cars parked,133,61,32,0.541,0.5246,0.5746,0.4016,0.6447,0.6968
black suv,58,25,11,0.569,0.44,0.5684,0.2667,0.6293,0.6968
some trees,61,25,11,0.59,0.44,0.5684,0.2667,0.6293,0.6968
signage,54,26,11,0.519,0.4231,0.5572,0.2554,0.6105,0.6968
brickwork looks solid,211,44,21,0.791,0.4773,0.5568,0.3375,0.6206,0.6968
large tree,185,79,40,0.573,0.5063,0.5521,0.3984,0.6137,0.6968
tree,200,87,44,0.565,0.5057,0.5484,0.4027,0.6083,0.6968
brooklyn public library,96,51,24,0.469,0.4706,0.545,0.3405,0.6048,0.6968
trees,569,237,125,0.583,0.5274,0.5436,0.4639,0.59,0.6968
trash can,183,85,42,0.536,0.4941,0.5402,0.3904,0.5983,0.6968
trees are bare,60,28,11,0.533,0.3929,0.5362,0.2357,0.5759,0.6968
tree in front,118,58,27,0.508,0.4655,0.5352,0.3433,0.592,0.6968
fire hydrant,79,45,19,0.43,0.4222,0.5203,0.2897,0.567,0.6968
black metal fence,94,47,20,0.5,0.4255,0.5197,0.2951,0.5672,0.6968
black suv parked in front,50,26,9,0.48,0.3462,0.518,0.1941,0.5378,0.6968
black fence,129,57,25,0.558,0.4386,0.5173,0.3177,0.5672,0.6968
brick facade,124,60,26,0.516,0.4333,0.5108,0.3157,0.559,0.6968
power lines overhead,41,25,8,0.39,0.32,0.5084,0.172,0.5159,0.6968
cars,124,41,16,0.669,0.3902,0.5064,0.2566,0.5427,0.6968
trash cans,61,36,13,0.41,0.3611,0.4987,0.2248,0.5243,0.6968
white car,62,28,9,0.548,0.3214,0.4985,0.1793,0.5066,0.6968
building on the left,61,28,9,0.541,0.3214,0.4985,0.1793,0.5066,0.6968
white van,87,39,14,0.552,0.359,0.4909,0.2274,0.5158,0.6968
facade looks relatively clean,77,29,9,0.623,0.3103,0.4892,0.1728,0.4923,0.6968
signs,53,25,7,0.528,0.28,0.4884,0.1428,0.4758,0.6968
car parked in front,185,94,40,0.492,0.4255,0.4825,0.3304,0.5265,0.6968
construction barriers,38,26,7,0.316,0.2692,0.4788,0.137,0.4608,0.6968
blue sign,43,26,7,0.395,0.2692,0.4788,0.137,0.4608,0.6968
parked cars,175,92,38,0.474,0.413,0.4737,0.3179,0.5152,0.6968
metal fence,76,38,12,0.5,0.3158,0.467,0.1908,0.4746,0.6968
multi-story brick building,76,39,12,0.487,0.3077,0.4597,0.1857,0.4642,0.6968
brick building on the left,71,39,11,0.451,0.2821,0.444,0.1654,0.4378,0.6968
"""no parking"" sign",68,40,10,0.412,0.25,0.4218,0.1419,0.4019,0.6968
fence,391,171,65,0.563,0.3801,0.4205,0.3108,0.4548,0.6968
red brick building,283,129,44,0.544,0.3411,0.3988,0.2649,0.4264,0.6968
brick structure,97,51,12,0.474,0.2353,0.3871,0.14,0.3676,0.6968
trash/debris,31,27,1,0.129,0.037,0.3542,0.0066,0.1828,0.6968
brick building,545,291,93,0.466,0.3196,0.3494,0.2687,0.3752,0.6968
dirt on the sidewalk,42,25,0,0.405,0.0,0.3484,0.0,0.1332,0.6968
fire escapes,40,25,0,0.375,0.0,0.3484,0.0,0.1332,0.6968
"older, brick building",54,28,1,0.481,0.0357,0.3475,0.0063,0.1771,0.6968
building under construction or renovation,28,28,1,0.0,0.0357,0.3475,0.0063,0.1771,0.6968
visible wear,36,26,0,0.278,0.0,0.3416,0.0,0.1287,0.6968
trash on the ground,39,29,1,0.256,0.0345,0.3411,0.0061,0.1718,0.6968
graffiti,36,32,2,0.111,0.0625,0.3407,0.0173,0.2015,0.6968
lot of overhead wiring,39,30,1,0.231,0.0333,0.3349,0.0059,0.1667,0.6968
signs of age,65,35,2,0.462,0.0571,0.3237,0.0158,0.1861,0.6968
graffiti on the wall,30,29,0,0.033,0.0,0.3226,0.0,0.117,0.6968
sidewalk has some cracks,56,33,1,0.411,0.0303,0.3176,0.0054,0.1532,0.6968
somewhat aged,34,30,0,0.118,0.0,0.3167,0.0,0.1135,0.6968
gritty,35,31,0,0.114,0.0,0.3111,0.0,0.1103,0.6968
cluttered,34,31,0,0.088,0.0,0.3111,0.0,0.1103,0.6968
messy,33,31,0,0.061,0.0,0.3111,0.0,0.1103,0.6968
building itself looks okay,48,36,1,0.25,0.0278,0.302,0.0049,0.1417,0.6968
weathering,56,40,2,0.286,0.05,0.2988,0.0138,0.165,0.6968
sidewalk is a bit worn,57,35,0,0.386,0.0,0.2903,0.0,0.0989,0.6968
many overhead wires,38,36,0,0.053,0.0,0.2856,0.0,0.0964,0.6968
debris,51,43,1,0.157,0.0233,0.2709,0.0041,0.1206,0.6968
worn,45,43,0,0.044,0.0,0.2562,0.0,0.082,0.6968
scaffolding,142,101,10,0.289,0.099,0.2176,0.0547,0.1727,0.6968
older brick building,98,66,2,0.327,0.0303,0.2134,0.0083,0.1039,0.6968
older,73,60,0,0.178,0.0,0.2049,0.0,0.0602,0.6968
construction site,81,72,1,0.111,0.0139,0.1899,0.0025,0.0746,0.6968
sidewalk has some debris,99,72,1,0.273,0.0139,0.1899,0.0025,0.0746,0.6968
chain-link fence,98,83,1,0.153,0.012,0.1705,0.0021,0.0651,0.6968
brickwork looks okay,231,143,3,0.381,0.021,0.1215,0.0072,0.0599,0.6968
weathered,174,151,0,0.132,0.0,0.099,0.0,0.0248,0.6968
