cue,n_mentions,n,wins,undecided_share,win_rate,shrunk_rate,ci_low,ci_high,base_rate
well-maintained city street,46,38,36,0.174,0.9474,0.8289,0.8271,0.9854,0.6489
asphalt is very uniform,27,26,26,0.037,1.0,0.8279,0.8713,1.0,0.6489
no obvious potholes or significant cracks,31,26,26,0.161,1.0,0.8279,0.8713,1.0,0.6489
quite clean,52,37,35,0.288,0.9459,0.8262,0.823,0.985,0.6489
markings are very crisp,38,31,30,0.184,0.9677,0.8254,0.8381,0.9943,0.6489
quite uniform,30,25,25,0.167,1.0,0.8245,0.8668,1.0,0.6489
smooth and uniform,26,25,25,0.038,1.0,0.8245,0.8668,1.0,0.6489
markings are clear,98,76,67,0.224,0.8816,0.824,0.79,0.9364,0.6489
clear lane markings (white lines),37,30,29,0.189,0.9667,0.8222,0.8333,0.9941,0.6489
good condition,51,35,33,0.314,0.9429,0.8204,0.8139,0.9842,0.6489
relatively clean and well-maintained,31,29,28,0.065,0.9655,0.8189,0.8282,0.9939,0.6489
relatively good condition,32,29,28,0.094,0.9655,0.8189,0.8282,0.9939,0.6489
paved city street,30,29,28,0.033,0.9655,0.8189,0.8282,0.9939,0.6489
slight wear,59,51,46,0.136,0.902,0.8187,0.7902,0.9574,0.6489
fairly well-maintained,79,56,50,0.291,0.8929,0.8176,0.7853,0.95,0.6489
fairly even,43,34,32,0.209,0.9412,0.8173,0.8091,0.9837,0.6489
decent condition,111,77,67,0.306,0.8701,0.8159,0.7772,0.9279,0.6489
asphalt is fairly uniform,32,27,26,0.156,0.963,0.812,0.8172,0.9934,0.6489
markings are very clear,33,27,26,0.182,0.963,0.812,0.8172,0.9934,0.6489
multi-lane highway or expressway,61,56,49,0.082,0.875,0.8052,0.7637,0.9381,0.6489
well-maintained highway,27,25,24,0.074,0.96,0.8045,0.8046,0.9929,0.6489
asphalt looks relatively smooth and even,26,25,24,0.038,0.96,0.8045,0.8046,0.9929,0.6489
faint markings,43,35,32,0.186,0.9143,0.8037,0.7762,0.9704,0.6489
highway,39,32,29,0.179,0.9062,0.7934,0.7578,0.9676,0.6489
pavement seems relatively smooth,29,27,25,0.069,0.9259,0.7928,0.7663,0.9794,0.6489
shadows,125,103,85,0.176,0.8252,0.7908,0.7406,0.8865,0.6489
surface looks fairly uniform,28,25,23,0.107,0.92,0.7845,0.7503,0.9778,0.6489
asphalt is dark,37,29,26,0.216,0.8966,0.7819,0.7361,0.9642,0.6489
multi-lane highway/expressway,121,111,90,0.083,0.8108,0.7811,0.728,0.8728,0.6489
minor cracks or wear,48,41,35,0.146,0.8537,0.7761,0.7156,0.9312,0.6489
visible lane markings,85,63,52,0.259,0.8254,0.7753,0.7138,0.8996,0.6489
multi-lane highway or major road,49,45,38,0.082,0.8444,0.7746,0.7122,0.9225,0.6489
relatively well-maintained,41,36,31,0.122,0.8611,0.7741,0.7134,0.9392,0.6489
asphalt appears mostly smooth,30,27,24,0.1,0.8889,0.7735,0.7194,0.9615,0.6489
multi-lane highway/roadway,33,31,27,0.061,0.871,0.7718,0.7115,0.9487,0.6489
asphalt appears to be in relatively good condition,45,39,33,0.133,0.8462,0.7691,0.7027,0.9275,0.6489
clear lane marking,29,25,22,0.138,0.88,0.7645,0.7004,0.9583,0.6489
no major potholes visible,60,50,41,0.167,0.82,0.763,0.692,0.9023,0.6489
asphalt looks decent,38,33,28,0.132,0.8485,0.7625,0.6908,0.9335,0.6489
clear double yellow lines,37,32,27,0.135,0.8438,0.7583,0.6825,0.9314,0.6489
asphalt looks mostly smooth,33,27,23,0.182,0.8519,0.7543,0.6752,0.9408,0.6489
multi-lane highway,105,95,74,0.095,0.7789,0.7519,0.6856,0.8506,0.6489
pavement looks fairly smooth,34,30,25,0.118,0.8333,0.7495,0.6644,0.9266,0.6489
fairly standard,39,26,22,0.333,0.8462,0.7495,0.6647,0.9385,0.6489
shadows from trees,202,161,123,0.203,0.764,0.7485,0.6927,0.8229,0.6489
some wear,216,175,133,0.19,0.76,0.7461,0.6916,0.8173,0.6489
white lane markings,118,96,74,0.186,0.7708,0.7456,0.6773,0.8435,0.6489
clear white line,34,27,22,0.206,0.8148,0.7351,0.633,0.9182,0.6489
wide city street with multiple lanes,35,30,24,0.143,0.8,0.7313,0.6269,0.905,0.6489
highway/expressway,37,30,24,0.189,0.8,0.7313,0.6269,0.905,0.6489
wide multi-lane road,44,37,29,0.159,0.7838,0.7294,0.628,0.8861,0.6489
concrete barrier,221,180,133,0.186,0.7389,0.7279,0.6702,0.7976,0.6489
multi-lane asphalt road,48,40,31,0.167,0.775,0.7265,0.625,0.8768,0.6489
cars,42,31,24,0.262,0.7742,0.7183,0.6019,0.8861,0.6489
no major potholes,32,27,21,0.156,0.7778,0.7158,0.5924,0.8939,0.6489
multi-lane road,143,117,85,0.182,0.7265,0.7128,0.6395,0.7991,0.6489
lane markings,139,122,88,0.122,0.7213,0.709,0.6359,0.7932,0.6489
crosswalk markings are clear,46,39,29,0.152,0.7436,0.7066,0.5892,0.8543,0.6489
concrete barriers,72,65,47,0.097,0.7231,0.7025,0.6042,0.8171,0.6489
white markings,54,41,30,0.241,0.7317,0.7003,0.5807,0.8431,0.6489
markings,365,304,214,0.167,0.7039,0.6998,0.6503,0.7525,0.6489
small cracks,35,30,22,0.143,0.7333,0.695,0.5555,0.8582,0.6489
relatively clean,44,33,24,0.25,0.7273,0.6935,0.5578,0.8493,0.6489
multi-lane city street,237,201,140,0.152,0.6965,0.6913,0.6298,0.7559,0.6489
paved street,53,44,31,0.17,0.7045,0.6844,0.5578,0.8184,0.6489
asphalt appears to be in decent condition,73,50,35,0.315,0.7,0.683,0.5625,0.809,0.6489
cars parked and driving,62,52,36,0.161,0.6923,0.6782,0.5573,0.8009,0.6489
guardrail,103,83,57,0.194,0.6867,0.678,0.5806,0.7764,0.6489
markings (white lines),35,29,20,0.171,0.6897,0.6708,0.5077,0.8272,0.6489
asphalt looks okay,46,29,20,0.37,0.6897,0.6708,0.5077,0.8272,0.6489
standard asphalt,52,35,24,0.327,0.6857,0.6704,0.5202,0.8145,0.6489
multi-lane city street with a crosswalk,42,40,27,0.048,0.675,0.665,0.5202,0.7992,0.6489
main thoroughfare,35,31,21,0.114,0.6774,0.6647,0.5014,0.8143,0.6489
typical city wear,38,28,19,0.263,0.6786,0.6646,0.4934,0.8207,0.6489
standard asphalt street,43,35,23,0.186,0.6571,0.6537,0.4915,0.7917,0.6489
dark asphalt,45,27,17,0.4,0.6296,0.6389,0.4423,0.7847,0.6489
bike lane,64,54,34,0.156,0.6296,0.6357,0.4963,0.7458,0.6489
visible markings,87,66,41,0.241,0.6212,0.6288,0.5006,0.7285,0.6489
some patches,84,74,46,0.119,0.6216,0.6285,0.5077,0.7235,0.6489
multi-lane roadway,51,47,29,0.078,0.617,0.6281,0.4743,0.7421,0.6489
paved road,45,38,23,0.156,0.6053,0.6226,0.4472,0.744,0.6489
double yellow line,49,39,23,0.204,0.5897,0.6129,0.4342,0.7292,0.6489
longitudinal cracks,64,51,30,0.203,0.5882,0.6082,0.4517,0.7125,0.6489
standard asphalt road,37,33,19,0.108,0.5758,0.6073,0.4081,0.7276,0.6489
crosswalk with white stripes,32,32,18,0.0,0.5625,0.6004,0.3933,0.7183,0.6489
white line,72,57,33,0.208,0.5789,0.6003,0.4498,0.6981,0.6489
paved area,44,39,22,0.114,0.5641,0.5972,0.4098,0.707,0.6489
lane markings are visible,42,34,19,0.19,0.5588,0.597,0.3945,0.7112,0.6489
curb,92,75,43,0.185,0.5733,0.5922,0.4605,0.679,0.6489
some cracks,104,89,51,0.144,0.573,0.5897,0.4693,0.6707,0.6489
curb and a sidewalk,84,69,39,0.179,0.5652,0.5875,0.4479,0.6757,0.6489
cracks and signs of wear,60,47,26,0.217,0.5532,0.5864,0.4125,0.6859,0.6489
discoloration,38,30,16,0.211,0.5333,0.5859,0.3614,0.6977,0.6489
white lines,37,30,16,0.189,0.5333,0.5859,0.3614,0.6977,0.6489
houses,33,25,13,0.242,0.52,0.5845,0.335,0.6997,0.6489
asphalt pavement,29,25,13,0.138,0.52,0.5845,0.335,0.6997,0.6489
yellow line,47,39,21,0.17,0.5385,0.5816,0.3857,0.6843,0.6489
signs of wear,118,96,54,0.186,0.5625,0.5804,0.4628,0.6574,0.6489
cars parked on the side,106,91,51,0.142,0.5604,0.5795,0.4581,0.6579,0.6489
asphalt or concrete,55,41,22,0.255,0.5366,0.5791,0.3875,0.6794,0.6489
parked cars on both sides,69,60,33,0.13,0.55,0.5791,0.4249,0.6691,0.6489
standard city street,110,87,48,0.209,0.5517,0.5734,0.4472,0.6518,0.6489
sidewalk,252,204,114,0.19,0.5588,0.5687,0.4902,0.6252,0.6489
cracks visible,30,25,12,0.167,0.48,0.5645,0.3003,0.665,0.6489
metal guardrail,53,36,18,0.321,0.5,0.561,0.3447,0.6553,0.6489
markings on the road,39,33,16,0.154,0.4848,0.5556,0.325,0.6478,0.6489
car parked on the side,48,35,17,0.271,0.4857,0.5537,0.3299,0.6443,0.6489
asphalt/pavement,33,26,12,0.212,0.4615,0.5534,0.2876,0.6454,0.6489
asphalt street,47,41,20,0.128,0.4878,0.5488,0.3425,0.6352,0.6489
trees,89,72,37,0.191,0.5139,0.5487,0.4007,0.6257,0.6489
debris (leaves),67,54,27,0.194,0.5,0.5471,0.3711,0.6289,0.6489
white car,54,45,22,0.167,0.4889,0.546,0.3496,0.63,0.6489
cars parked,50,42,20,0.16,0.4762,0.5406,0.3336,0.6228,0.6489
multiple lanes,103,93,47,0.097,0.5054,0.5358,0.4056,0.6047,0.6489
yellow lines,44,32,14,0.273,0.4375,0.5302,0.2817,0.6067,0.6489
several cars,53,49,23,0.075,0.4694,0.53,0.337,0.6062,0.6489
wear,115,91,45,0.209,0.4945,0.5278,0.3941,0.5954,0.6489
double yellow lines,207,167,85,0.193,0.509,0.5272,0.4338,0.5837,0.6489
visible cracks and wear,93,78,38,0.161,0.4872,0.5264,0.3795,0.5961,0.6489
darker patches,38,28,11,0.263,0.3929,0.5136,0.2357,0.5759,0.6489
road surface is asphalt,41,30,12,0.268,0.4,0.5131,0.2459,0.5768,0.6489
cars parked on both sides,125,108,52,0.136,0.4815,0.513,0.3895,0.5747,0.6489
asphalt surface,82,66,30,0.195,0.4545,0.5079,0.3402,0.5739,0.6489
manhole covers,81,66,30,0.185,0.4545,0.5079,0.3402,0.5739,0.6489
visible cracks and signs of wear,34,29,11,0.147,0.3793,0.5041,0.2269,0.56,0.6489
cracks or patches,42,29,11,0.31,0.3793,0.5041,0.2269,0.56,0.6489
crosswalk,398,354,174,0.111,0.4915,0.5019,0.4398,0.5434,0.6489
asphalt/concrete,36,30,11,0.167,0.3667,0.495,0.2187,0.5449,0.6489
slightly worn,32,26,9,0.188,0.3462,0.4946,0.1941,0.5378,0.6489
paved surface,97,81,36,0.165,0.4444,0.4927,0.3412,0.5527,0.6489
crosswalks,60,51,21,0.15,0.4118,0.4898,0.2875,0.5483,0.6489
residential street,951,864,419,0.091,0.485,0.4896,0.4518,0.5183,0.6489
debris or dirt near the curb,28,25,8,0.107,0.32,0.4845,0.172,0.5159,0.6489
patches and cracks,58,50,20,0.138,0.4,0.483,0.2761,0.5382,0.6489
crosswalk markings,55,48,19,0.127,0.3958,0.4825,0.2702,0.5369,0.6489
dirt/debris,56,48,19,0.143,0.3958,0.4825,0.2702,0.5369,0.6489
asphalt,436,334,156,0.234,0.4671,0.4797,0.4142,0.5206,0.6489
construction scaffolding,35,30,10,0.143,0.3333,0.4768,0.1923,0.5122,0.6489
construction barriers,26,26,8,0.0,0.3077,0.475,0.165,0.4999,0.6489
parked cars,720,616,286,0.144,0.4643,0.4715,0.4252,0.5038,0.6489
manhole cover,319,277,126,0.132,0.4549,0.4709,0.3972,0.5137,0.6489
car parked on it,35,33,11,0.057,0.3333,0.4694,0.1975,0.5039,0.6489
visible cracks and some wear,46,42,15,0.087,0.3571,0.466,0.2299,0.5083,0.6489
side street,46,40,14,0.13,0.35,0.465,0.2213,0.5049,0.6489
cracks and repairs,36,30,9,0.167,0.3,0.4586,0.1666,0.4788,0.6489
visible wear,287,234,101,0.185,0.4316,0.4526,0.3698,0.4957,0.6489
cracking,30,27,7,0.1,0.2593,0.4466,0.1317,0.4468,0.6489
debris/leaves,41,36,11,0.122,0.3056,0.4463,0.18,0.4686,0.6489
visible texture,45,36,11,0.2,0.3056,0.4463,0.18,0.4686,0.6489
visible cracks and repairs,42,34,10,0.19,0.2941,0.4445,0.1683,0.4617,0.6489
city street intersection,34,30,8,0.118,0.2667,0.4404,0.1418,0.4445,0.6489
visible longitudinal cracks,30,26,6,0.133,0.2308,0.4357,0.1103,0.4205,0.6489
city street with multiple lanes,30,29,7,0.033,0.2414,0.4301,0.1222,0.4211,0.6489
visible patches and cracks,33,27,6,0.182,0.2222,0.4274,0.1061,0.4076,0.6489
cracks and patches,252,209,83,0.171,0.3971,0.424,0.3332,0.4647,0.6489
puddles or wet spots,27,26,5,0.037,0.1923,0.4161,0.0851,0.3788,0.6489
narrower residential street,33,29,6,0.121,0.2069,0.4115,0.0985,0.3839,0.6489
lane markings are somewhat faded,38,37,9,0.026,0.2432,0.4068,0.1336,0.4012,0.6489
some debris,35,30,6,0.143,0.2,0.4041,0.095,0.3731,0.6489
orange cones,42,41,10,0.024,0.2439,0.3973,0.1382,0.3934,0.6489
chain-link fence,32,27,4,0.156,0.1481,0.3889,0.0592,0.3248,0.6489
large cracks,29,25,3,0.138,0.12,0.3845,0.0417,0.2996,0.6489
cracks and wear,133,114,37,0.143,0.3246,0.3829,0.2456,0.415,0.6489
asphalt is cracked,28,26,3,0.071,0.1154,0.3769,0.04,0.2898,0.6489
many patches,31,26,3,0.161,0.1154,0.3769,0.04,0.2898,0.6489
city street with a crosswalk,65,59,15,0.092,0.2542,0.3717,0.1606,0.378,0.6489
cracks and uneven patches,30,27,3,0.1,0.1111,0.3697,0.0385,0.2806,0.6489
many parked cars,52,46,10,0.115,0.2174,0.3693,0.1226,0.3557,0.6489
residential street with parked cars,93,85,24,0.086,0.2824,0.3657,0.1977,0.3858,0.6489
"asphalt looks somewhat worn, with some cracks and patches",38,36,6,0.053,0.1667,0.3643,0.0787,0.3189,0.6489
debris/dirt,84,69,18,0.179,0.2609,0.3641,0.1719,0.3751,0.6489
wear and tear,163,137,42,0.16,0.3066,0.3594,0.2355,0.3882,0.6489
"debris (leaves, dirt)",66,60,14,0.091,0.2333,0.3556,0.1444,0.3544,0.6489
debris or dirt,46,41,7,0.109,0.1707,0.3519,0.0853,0.3126,0.6489
asphalt looks somewhat aged,32,27,2,0.156,0.0741,0.3504,0.0206,0.2337,0.6489
debris or unevenness,39,36,5,0.077,0.1389,0.3479,0.0608,0.2866,0.6489
cracks or unevenness,31,25,1,0.194,0.04,0.3445,0.0071,0.1954,0.6489
cracks and uneven surfaces,49,43,7,0.122,0.1628,0.3415,0.0812,0.2997,0.6489
visible cracks and patches,243,209,63,0.14,0.3014,0.3386,0.2433,0.3668,0.6489
uneven patches,26,26,1,0.0,0.0385,0.3377,0.0068,0.1889,0.6489
debris/dirt near the curb,45,39,5,0.133,0.1282,0.3316,0.056,0.2671,0.6489
more weathered,31,27,1,0.129,0.037,0.3312,0.0066,0.1828,0.6489
older,32,28,1,0.125,0.0357,0.325,0.0063,0.1771,0.6489
worn and uneven,29,28,1,0.034,0.0357,0.325,0.0063,0.1771,0.6489
patching,61,57,10,0.066,0.1754,0.3198,0.0982,0.2937,0.6489
narrower street,63,54,9,0.143,0.1667,0.3193,0.0902,0.2874,0.6489
visible cracks and uneven surfaces,36,33,2,0.083,0.0606,0.3142,0.0168,0.1961,0.6489
potholes or uneven surfaces,29,27,0,0.069,0.0,0.312,0.0,0.1246,0.6489
construction site,47,47,6,0.0,0.1277,0.3087,0.0598,0.2517,0.6489
pavement looks somewhat worn,47,38,3,0.191,0.0789,0.3051,0.0272,0.208,0.6489
patches,248,213,56,0.141,0.2629,0.3035,0.2084,0.3259,0.6489
city street,117,110,24,0.06,0.2182,0.2979,0.1512,0.3042,0.6489
visible wear and tear,119,106,22,0.109,0.2075,0.2918,0.1412,0.2943,0.6489
asphalt looks quite worn,34,31,0,0.088,0.0,0.2897,0.0,0.1103,0.6489
quite rough,33,31,0,0.061,0.0,0.2897,0.0,0.1103,0.6489
cracks and unevenness,77,69,11,0.104,0.1594,0.2896,0.0914,0.2633,0.6489
very cracked,41,35,1,0.146,0.0286,0.2871,0.0051,0.1453,0.6489
city street with parked cars,64,60,8,0.062,0.1333,0.285,0.0691,0.2417,0.6489
more worn,39,32,0,0.179,0.0,0.2846,0.0,0.1072,0.6489
older and more worn,32,32,0,0.0,0.0,0.2846,0.0,0.1072,0.6489
significant cracks,48,40,2,0.167,0.05,0.2804,0.0138,0.165,0.6489
visible patches,84,68,9,0.19,0.1324,0.2712,0.0712,0.2328,0.6489
rough,40,35,0,0.125,0.0,0.2704,0.0,0.0989,0.6489
quite cracked,45,39,1,0.133,0.0256,0.2691,0.0045,0.1318,0.6489
noticeable cracks,67,55,5,0.179,0.0909,0.2653,0.0395,0.1958,0.6489
cracks,320,267,61,0.166,0.2285,0.2645,0.1822,0.2825,0.6489
significant wear and tear,46,44,1,0.043,0.0227,0.2496,0.004,0.1181,0.6489
visible cracks and unevenness,49,46,1,0.061,0.0217,0.2426,0.0038,0.1134,0.6489
asphalt looks a bit more worn,47,43,0,0.085,0.0,0.2386,0.0,0.082,0.6489
uneven,56,52,2,0.071,0.0385,0.2367,0.0106,0.1298,0.6489
many cracks,56,52,2,0.071,0.0385,0.2367,0.0106,0.1298,0.6489
asphalt looks somewhat worn,128,105,14,0.18,0.1333,0.2325,0.0811,0.2114,0.6489
somewhat worn,86,72,6,0.163,0.0833,0.2291,0.0388,0.1701,0.6489
asphalt looks older,48,46,0,0.042,0.0,0.2285,0.0,0.0771,0.6489
debris,136,124,16,0.088,0.129,0.2163,0.081,0.1994,0.6489
unevenness,105,86,7,0.181,0.0814,0.2092,0.04,0.1586,0.6489
uneven surfaces,54,53,0,0.019,0.0,0.208,0.0,0.0676,0.6489
quite worn,64,59,0,0.078,0.0,0.1931,0.0,0.0611,0.6489
significant cracking,78,71,2,0.09,0.0282,0.1898,0.0078,0.097,0.6489
weathered,124,108,9,0.129,0.0833,0.1896,0.0445,0.1508,0.6489
rougher,75,66,0,0.12,0.0,0.1783,0.0,0.055,0.6489
significant wear,87,82,2,0.057,0.0244,0.1703,0.0067,0.0846,0.6489
worn,260,238,23,0.085,0.0966,0.1491,0.0653,0.1408,0.6489
visible cracks,415,363,33,0.125,0.0909,0.1269,0.0655,0.1249,0.6489
